WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
03013||LAA||||LAMAR, CO|LAMAR MUNICIPAL||38.04|-102.41|3703|3703|3673|
03016||RIL||||RIFLE, CO|GARFIELD COUNTY AIRPORT||39.32|-107.44|5548|5548|5548|
03017|72469|DEN|04|05|2211|DENVER, CO|DENVER INTERNATIONAL AP|NAT'L WEA SER OFC*10230 SMITH ROAD*DENVER, CO 80239-3238|39.50|-104.4|5380|5380|5380|
03024||BGD||||BORGER, TX|HUTCHINSON COUNTY AIRPORT||35.42|-101.23|3041|3041|3041|
03026||ITR||||BURLINGTON, CO|CARSON COUNTY AIRPORT||39.14|-102.17|4217|4217|4217|
03027||CQC||||CLINES CORNERS, NM|CLINES CORNERS||35.00|105.4|7086|7086|7086|
03028||SPD||||SPRINGFIELD, CO|COMANCHE NATL GRASSLAND||37.17|-102.37|4380|4380|4380|
03029||RQE||||WINDOW ROCK, AZ|WINDOW ROCK AIRPORT||35.40|-109.04|6739|6739|6739|
03030||GUY||||GUYMON, OK|GUYMON MUNICIPAL AIRPORT||36.41|-101.31|3132|3132|3132|
03031||ODO||||ODESSA, TX|ODESSA-SCHLEMEYER FIELD||31.55|-102.23|3001|3001|3001|
03032||6R6||||DRYDEN, TX|TERRELL COUNTY AIRPORT||30.03|-102.13|2322|2322|2322|
03102||ONT||||ONTARIO, CA|ONTARIO INTERNATIONAL ARPT||34.04|117.36|943|943|943|
03103|72375|FLG|02|02|3010|FLAGSTAFF, AZ|PULLIAM AIRPORT|NAT'L WEA SER OFC*R.R. 7 PULLIAM AP*FLAGSTAFF, AZ. 86001*|35.08|-111.4|7001|7001|7001|
03131||MYF||||SAN DIEGO, CA|MONTGOMERY FIELD||32.49|-117.08|423|423|423|
03145|722805|NYL||||YUMA, AZ|YUMA MCAS|ATTN  WEATHER SERVICE OFFICER*STATION OPS AND MAINT SQDN*BOX 99200*YUMA  AZ  85369-9220|32.39|-114.37|213|213|214|
03160|72387|DRA|04|26|2251|MERCURY, NV|DESERT ROCK AIRPORT|DESERT ROCK*WEA SER NUCLEAR SUPPORT OFC.*P0 BOX 94227*LAS VEGAS, NV. 89193-4227*|36.37|-116.02|3298|3310|3303|
03162|72371|PGA||||PAGE, AZ|PAGE MUNICIPAL AIRPORT||36.56|-111.27|4310|4290|4290|
03163||P38||||CALIENTE, NV|CALIENTE AIRPORT||37.37|-114.32|4380|4380|4380|
03164||CZZ||||CAMPO, CA|CAMPO||32.37|-116.28|2631|2631|2631|
